"","household_key","DAY","QUANTITY","BASE_SPEND_AMT","NET_SPEND_AMT","LOY_CARD_DISC","COUPON_DISC","GET_EGGS"
"1",1,0,1,2.84,2.84,0,0,0
"2",13,0,47,115.45,99.03,-15.42,-1,0
"3",19,0,44,133.85,112.27,-21.58,0,1
"4",25,0,15,34.33,29.5,-4.83,0,0
"5",27,0,5,13.44,12.48,-0.96,0,0
"6",35,0,11,35.22,31.37,-3.85,0,0
"7",36,0,32,106.58,87.95,-18.63,0,0
"8",48,0,5,18.93,17.15,-1.78,0,0
"9",49,0,18,49.28,40.62,-8.66,0,0
"10",68,0,1,1.59,1.29,-0.3,0,0
"11",69,0,28,46.74,40.77,-5.97,0,0
"12",73,0,5,17.73,16.75,-0.98,0,0
"13",83,0,16,42.42,37.26,-5.16,0,0
"14",84,0,1,2.99,2.99,0,0,0
"15",113,0,26,101.31,84.77,-16.54,0,0
"16",116,0,4,14.76,13.62,-1.14,0,0
"17",129,0,5,4.25,4.25,0,0,0
"18",138,0,3,3.88,3.58,-0.3,0,0
"19",139,0,2,2.64,2.34,-0.3,0,0
"20",142,0,7,20.54,17.84,-2.7,0,0
"21",146,0,7,23.49,18.64,-4.85,0,0
"22",158,0,3,9.48,6.78,-2.35,-0.35,0
"23",178,0,6,12.21,9.85,-2.36,0,0
"24",190,0,1,19.69,16.99,-2.7,0,0
"25",196,0,10,45.26,34.9,-10.36,0,0
"26",197,0,3,15.37,14.37,-1,0,0
"27",200,0,1,1.59,1.29,-0.3,0,0
"28",212,0,18,53.94,49.79,-4.15,0,0
"29",219,0,15,56.9,53.03,-3.87,0,0
"30",221,0,25,55.06,45.75,-9.31,0,0
"31",225,0,9,26.05,23.41,-2.64,0,1
"32",232,0,2,7.34,5.84,-1.5,0,0
"33",239,0,16,26.67,20.93,-5.74,0,1
"34",259,0,9,31.49,30.51,-0.98,0,0
"35",261,0,5,22.96,22.21,-0.75,0,0
"36",263,0,7,17.78,12.39,-5.39,0,0
