"","X.1","household_key","QUANTITY","BASE_SPEND_AMT","NET_SPEND_AMT","LOY_CARD_DISC","COUPON_DISC","GET_EGGS","WEEK","NEXT_EGGS","X","BASKET_ID","PRODUCT_ID","AGE_DESC","MARITAL_STATUS_CODE","INCOME_DESC","HOMEOWNER_DESC","HH_COMP_DESC","HOUSEHOLD_SIZE_DESC","KID_CATEGORY_DESC","DEPARTMENT","COMMODITY_DESC","SUB_COMMODITY_DESC"
"1",1,1,0,0,0,0,0,0,28,1,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"29",29,2,0,0,0,0,0,0,28,0,57820,36029272239,825343,NA,NA,NA,NA,NA,NA,NA,"MEAT","BEEF","CHOICE BEEF"
"57",57,3,16,55.73,43.68,-12.05,0,0,28,0,45131,35713870595,819255,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","BREAKFAST SAUSAGE/SANDWICHES","ROLLS - PORK"
"85",85,4,0,0,0,0,0,0,28,0,115789,40509961995,947095,NA,NA,NA,NA,NA,NA,NA,"GROCERY","MEAT - SHELF STABLE","POTTED MEATS AND SPREADS"
"113",113,5,1,12.99,12.99,0,0,0,28,0,29635,35463357641,1006906,NA,NA,NA,NA,NA,NA,NA,"GROCERY","MISC. DAIRY","REFRIGERATED PASTA SAUCE"
"141",141,6,0,0,0,0,0,0,28,1,5148,34748999550,878715,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BEERS/ALES","BEERALEMALT LIQUORS"
"169",169,7,53,141.65,124.23,-16.92,-0.5,0,28,1,16055,35000926155,894360,"45-54","A","50-74K","Homeowner","2 Adults No Kids","2","None/Unknown","PASTRY","CAKES","CAKES: ANGEL FDS/CKE ROLLS"
"197",197,8,65,185.6,161.3,-24.3,0,1,28,0,2636,34642677035,844441,"25-34","U","25-34K","Unknown","2 Adults Kids","3","1","GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL"
"225",225,9,0,0,0,0,0,0,28,0,3019,34642836203,826249,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAKED BREAD/BUNS/ROLLS","HAMBURGER BUNS"
"253",253,10,0,0,0,0,0,0,28,0,235751,41730331362,871162,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL"
"281",281,12,0,0,0,0,0,0,28,0,7023,34762205674,843111,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CHEESE","NATURAL CHEESE EXACT WT CHUNKS"
"309",309,13,45,116.29,102.98,-11.46,-1.85,1,28,0,433,34641839324,823758,"25-34","U","75-99K","Homeowner","2 Adults Kids","4","2","GROCERY","MARGARINES","MARGARINE  STICK"
