"","X","household_key","BASKET_ID","DAY","PRODUCT_ID","QUANTITY","BASE_SPEND_AMT","LOY_CARD_DISC","COUPON_DISC","NET_SPEND_AMT","AGE_DESC","MARITAL_STATUS_CODE","INCOME_DESC","HOMEOWNER_DESC","HH_COMP_DESC","HOUSEHOLD_SIZE_DESC","KID_CATEGORY_DESC","DEPARTMENT","COMMODITY_DESC","SUB_COMMODITY_DESC","PRICE_PER_PRODUCT"
"1",1,232,34577534849,0,995242,1,2.7,-0.85,0,1.85,"35-44","U","35-49K","Unknown","2 Adults No Kids","2","None/Unknown","GROCERY","FLUID MILK PRODUCTS","FLUID MILK WHITE ONLY",2.7
"2",2,376,34577813973,0,1033615,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,"GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE FRUIT DRINKS (NO JU",1
"6",6,566,34641660381,0,1082185,1,0.6,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","TROPICAL FRUIT","BANANAS",0.6
"7",7,762,34641671814,0,6773115,1,3,0,0,3,"35-44","A","125-149K","Renter","Single Female","2","None/Unknown","PASTRY","COOKIES","COOKIES: HOLIDAY/SPECIAL OCCAS",3
"8",8,591,34641672095,0,840361,2,2.38,-0.4,0,1.98,NA,NA,NA,NA,NA,NA,NA,"GROCERY","EGGS","EGGS - LARGE",1.19
"21",21,676,34641685002,0,862682,1,3.58,-0.79,0,2.79,NA,NA,NA,NA,NA,NA,NA,"GROCERY","WATER - CARBONATED/FLVRD DRINK","NON-CRBNTD DRNKING/MNERAL WATE",3.58
"26",26,999,34641685713,0,824180,1,3.19,0,0,3.19,NA,NA,NA,NA,NA,NA,NA,"PASTRY","BREAKFAST SWEETS","SW GDS:DONUTS",3.19
"38",38,764,34641691963,0,830887,1,1.85,0,0,1.85,"35-44","A","50-74K","Homeowner","2 Adults Kids","5+","3+","GROCERY","CANNED JUICES","ASEPTIC PACK JUICE AND DRINKS",1.85
"55",55,330,34641695993,0,821464,1,0.99,0,0,0.99,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","POTATOES","POTATOES SWEET&YAMS",0.99
"62",62,129,34641696663,0,878996,1,0.94,0,0,0.94,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","GRAPES","GRAPES RED",0.94
"67",67,671,34641697305,0,847434,1,17.99,0,0,17.99,"35-44","U","35-49K","Homeowner","Single Female","1","None/Unknown","GROCERY","BEERS/ALES","BEERALEMALT LIQUORS",17.99
"70",70,290,34641706137,0,857554,1,2.18,-0.59,0,1.59,"25-34","U","35-49K","Unknown","2 Adults No Kids","2","None/Unknown","GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL",2.18
"83",83,397,34641708160,0,839075,1,11.99,0,0,11.99,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BEERS/ALES","BEERALEMALT LIQUORS",11.99
"86",86,73,34641709411,0,969836,1,2.59,0,0,2.59,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","LUNCHMEAT","LUNCH COMBO",2.59
"90",90,853,34641710277,0,975938,1,0.89,0,0,0.89,"25-34","B","175-199K","Unknown","Single Female","1","None/Unknown","GROCERY","SOFT DRINKS","MIXERS(CLUB SODA/SELTZERS)FLAV",0.89
"93",93,846,34641711614,0,826249,1,1.7,-0.41,0,1.29,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAKED BREAD/BUNS/ROLLS","HAMBURGER BUNS",1.7
"107",107,69,34641712943,0,830503,1,4.99,-1,0,3.99,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","LUNCHMEAT","HAM",4.99
"122",122,380,34641717680,0,847982,1,1.99,0,0,1.99,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","SALAD MIX","REGULAR GARDEN",1.99
"134",134,663,34641717815,0,827683,2,5.96,-1.98,0,3.98,NA,NA,NA,NA,NA,NA,NA,"GROCERY","ICE CREAM/MILK/SHERBTS","TRADITIONAL",2.98
"153",153,393,34641718864,1,838733,1,1.58,-0.29,0,1.29,NA,NA,NA,NA,NA,NA,NA,"GROCERY","WAREHOUSE SNACKS","CANISTER POTATO/TORT CHIPS",1.58
"176",176,219,34641720780,0,850529,1,1.09,0,0,1.09,"55-64","A","150-174K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","PAPER HOUSEWARES","PAPER AND FOAM DRINKING CUPS",1.09
"190",190,467,34641725025,0,1037894,1,1.59,-0.3,0,1.29,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK SNGL SRV BTL CARB (EX",1.59
"193",193,908,34641727209,0,887225,4,5.96,0,0,5.96,"45-54","A","100-124K","Probable Owner","2 Adults Kids","3","1","GROCERY","SOUP","CONDENSED SOUP",1.49
"196",196,408,34641727988,0,907014,1,0.35,0,0,0.35,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAKING MIXES","MUFFIN & CORN BREAD MIX",0.35
"199",199,696,34641735235,0,823176,1,2.08,-0.29,0,1.79,"35-44","U","50-74K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","WAREHOUSE SNACKS","MISC SNACKS",2.08
"202",202,981,34641740005,0,824758,2,11.16,-2.58,0,8.58,"45-54","A","25-34K","Homeowner","Single Female","2","None/Unknown","GROCERY","COLD CEREAL","ALL FAMILY CEREAL",5.58
"215",215,435,34641740051,0,972244,3,3.6,-0.6,0,3,NA,NA,NA,NA,NA,NA,NA,"GROCERY","ISOTONIC DRINKS","ISOTONIC DRINKS SINGLE SERVE",1.2
